,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,1.33,,1.19,,2.16,,1.27,,-2.35,,-0.63,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,,5.77,,1.50,,25.28,,37.14,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.70,,14.02,,0.15,,1.68,,3.67,,,,,
Chile,26.04,,21.78,,15.43,,12.73,,11.44,,8.23,,7.36,,6.13,,5.11,,3.34,,3.84,,3.57,,2.49,,2.81,,1.05,,3.05,,3.39,,4.41,,8.72,,0.35,,1.41,,3.34,,3.01,,1.79,,4.72,,4.35,,3.79,,2.18,
"China, P.R.: Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,2.03,,4.30,,0.58,,2.31,,5.28,,4.06,,4.32,,4.44,,3.00,,2.41,,1.48,
"China, P.R.: Macao",,,,,,,,,,,,,,,,,,,,,,,-1.99,,-2.64,,-1.56,,0.98,,4.40,,5.15,,5.57,,8.61,,1.17,,2.81,,5.80,,6.11,,5.51,,6.05,,4.56,,2.37,,1.23,
"China, P.R.: Mainland",,,,,,,,,24.26,,16.79,,8.31,,2.79,,-0.77,,-1.40,,0.35,,0.72,,-0.73,,1.13,,3.82,,1.78,,1.65,,4.82,,5.93,,-0.73,,3.18,,5.55,,2.62,,2.62,,1.92,,1.44,,2.00,,1.59,
Colombia,29.14,,30.35,,27.03,,22.44,,22.85,,20.90,,20.80,,18.46,,18.68,,10.87,,9.22,,7.97,,6.35,,7.13,,5.90,,5.05,,4.29,,5.55,,7.00,,4.20,,2.27,,3.42,,3.17,,2.02,,2.90,,4.99,,7.51,,4.31,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,6.31,,-4.29,,,,,,,,,
"Congo, Democratic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,1.24,,0.74,,2.89,,,
"Congo, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,4.96,,4.42,,0.39,,1.76,,5.01,,4.63,,0.91,,3.17,,3.19,,0.45,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,11.26,,9.17,,9.45,,12.32,,13.80,,11.47,,9.36,,13.42,,7.84,,5.66,,4.88,,4.50,,5.23,,4.52,,0.80,,-0.02,,1.63,
Cote d'Ivoire,,,,,,,,,,,,,,,,,4.61,,0.70,,2.53,,4.36,,3.08,,3.30,,1.46,,3.89,,2.47,,1.89,,6.31,,1.02,,1.23,,4.91,,1.30,,2.58,,0.45,,1.25,,0.72,,0.69,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,2.90,,6.08,,2.38,,1.03,,2.27,,3.41,,2.22,,-0.22,,-0.46,,-1.13,,1.13,
Curacao,,,,,,,,,,,,,,,,,,,,,,,1.79,,0.39,,1.63,,1.38,,4.12,,3.11,,3.00,,6.88,,1.75,,2.78,,2.33,,3.18,,1.33,,1.50,,-0.48,,-0.05,,1.59,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,1.97,,2.80,,4.14,,2.29,,2.56,,2.30,,2.37,,4.67,,0.33,,2.43,,3.29,,2.39,,-0.40,,-1.35,,-2.10,,-1.69,,0.53,
Czech Republic,,,,,11.09,,20.81,,10.04,,8.99,,8.76,,8.60,,10.70,,2.14,,3.78,,4.66,,1.90,,0.12,,2.76,,1.86,,2.53,,2.85,,6.36,,1.02,,1.47,,1.92,,3.29,,1.44,,0.34,,0.31,,0.68,,2.45,
Denmark,2.64,,2.40,,2.10,,1.26,,1.99,,2.08,,2.13,,2.18,,1.85,,2.50,,2.90,,2.34,,2.42,,2.08,,1.15,,1.82,,1.92,,1.69,,3.42,,1.30,,2.31,,2.76,,2.40,,0.79,,0.56,,0.45,,0.25,,1.15,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,3.73,,2.71,,1.34,,-0.85,,2.74,,0.57,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,1.45,,2.39,,1.68,,2.20,,3.63,,6.36,,0.01,,3.00,,1.13,,1.36,,-0.05,,0.80,,-0.79,,0.23,,0.35,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,7.72,,8.88,,5.22,,27.45,,51.46,,4.19,,7.57,,6.14,,10.64,,1.44,,6.33,,8.46,,3.69,,4.83,,3.00,,0.84,,1.61,,3.28,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,,2.28,,8.40,,5.16,,3.55,,4.47,,5.10,,2.72,,3.59,,3.97,,1.73,,0.42,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05,,7.12,,9.42,,10.14,,10.36,,13.81,,29.50,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,5.13,,1.73,,0.76,,1.14,,-0.73,,0.60,,1.01,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,3.66,,2.95,,4.31,,1.68,,1.41,,0.74,
Estonia,,,,,,,,,,,,,,,,,,,3.30,,4.02,,5.75,,3.57,,1.33,,3.05,,4.08,,4.44,,6.60,,10.36,,-0.08,,2.97,,4.98,,3.93,,2.78,,-0.11,,-0.49,,0.15,,3.42,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,13.67,,3.33,,9.97,,12.30,,17.24,,44.36,,8.48,,8.15,,33.25,,24.12,,8.08,,7.40,,10.11,,7.26,,9.85,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,3.69,,7.28,,3.42,,2.91,,0.53,,1.38,,3.86,,3.35,
Finland,6.15,,4.31,,2.92,,2.19,,1.09,,0.79,,0.63,,1.19,,1.40,,1.16,,3.04,,2.58,,1.57,,0.88,,0.19,,0.62,,1.57,,2.51,,4.07,,0.00,,1.18,,3.42,,2.81,,1.48,,1.04,,-0.21,,0.36,,0.75,
France,3.19,,3.21,,2.36,,2.10,,1.66,,1.80,,1.98,,1.20,,0.65,,0.54,,1.68,,1.63,,1.92,,2.10,,2.14,,1.75,,1.68,,1.49,,2.81,,0.09,,1.53,,2.11,,1.95,,0.86,,0.51,,0.04,,0.18,,1.03,
French Territories: New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,1.75,,1.28,,0.18,,0.57,,0.58,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,2.65,,0.51,,4.69,,-0.34,,2.11,,2.65,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80,,4.25,,5.70,,5.95,,6.81,,7.23,,8.03,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,,9.24,,10.00,,1.73,,7.11,,8.54,,-0.94,,-0.51,,3.07,,4.00,,2.13,,6.04,
Germany,2.70,,4.05,,5.06,,4.47,,2.69,,1.71,,1.45,,1.94,,0.91,,0.59,,1.44,,1.98,,1.42,,1.03,,1.67,,1.55,,1.58,,2.30,,2.63,,0.31,,1.10,,2.08,,2.01,,1.50,,0.91,,0.51,,0.49,,1.51,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,,7.13,,11.67,,15.49,,17.15,,17.45,,12.37,
