year,country,inflow,outflow,latitude,longitude,net_migrants,GDP per Capita,CPI
2000,Saudi Arabia,5086745,131828,23.885942,45.079162,4954917,9126.954276999999,76.69088512
2005,Saudi Arabia,6283624,154351,23.885942,45.079162,6129273,13739.82945,77.24675401
2010,Saudi Arabia,8147064,189779,23.885942,45.079162,7957285,19259.58726,100.0
2015,Saudi Arabia,10408329,245953,23.885942,45.079162,10162376,20732.861719999997,116.61637720000002
2017,Saudi Arabia,11774584,255345,23.885942,45.079162,11519239,20849.29137,118.0175017
1990,Senegal,234420,365521,14.497401000000002,-14.452362,-131101,957.8437769,54.08440292
1995,Senegal,250016,351791,14.497401000000002,-14.452362,-101775,706.1381926,75.29608466
2000,Senegal,197885,380905,14.497401000000002,-14.452362,-183020,599.3735869,80.88363416
2005,Senegal,201695,452310,14.497401000000002,-14.452362,-250615,979.6961187999999,87.09590107
2010,Senegal,215154,525793,14.497401000000002,-14.452362,-310639,1255.402738,100.0
2015,Senegal,221160,529900,14.497401000000002,-14.452362,-308740,1186.327514,104.60433359999999
2017,Senegal,223133,544825,14.497401000000002,-14.452362,-321692,1329.304228,106.8705601
1990,Serbia,99189,688943,44.016521,21.005859,-589754,Data Unavailable,Data Unavailable
1995,Serbia,629705,902114,44.016521,21.005859,-272409,2196.6184670000002,2.581791538
2000,Serbia,856060,1114335,44.016521,21.005859,-258275,870.1365252,19.75768822
2005,Serbia,844426,909135,44.016521,21.005859,-64709,3528.131008,65.21591297
2010,Serbia,825407,828041,44.016521,21.005859,-2634,5411.877404,100.0
2015,Serbia,806777,912272,44.016521,21.005859,-105495,5237.255334,132.9633
2017,Serbia,801200,936727,44.016521,21.005859,-135527,5901.223013000001,138.6654534
1990,Seychelles,2947,29162,-4.679574,55.491977,-26215,5302.843727,37.66505421
1995,Seychelles,4514,18921,-4.679574,55.491977,-14407,6748.931109,40.80796601
2000,Seychelles,6095,8984,-4.679574,55.491977,-2889,7578.851053,47.07716047
2005,Seychelles,8568,9430,-4.679574,55.491977,-862,11092.51074,54.10298184
2010,Seychelles,11053,32253,-4.679574,55.491977,-21200,10804.68447,100.0
2015,Seychelles,12367,37790,-4.679574,55.491977,-25423,14745.31375,120.90342009999999
2017,Seychelles,12486,35873,-4.679574,55.491977,-23387,15629.30594,123.0945572
1990,Sierra Leone,221192,60932,8.460555000000001,-11.779889,160260,150.6511518,Data Unavailable
1995,Sierra Leone,104349,457089,8.460555000000001,-11.779889,-352740,203.6948791,Data Unavailable
2000,Sierra Leone,97244,508493,8.460555000000001,-11.779889,-411249,139.3147734,Data Unavailable
2005,Sierra Leone,148640,147311,8.460555000000001,-11.779889,1329,291.6903175,Data Unavailable
2010,Sierra Leone,96482,135542,8.460555000000001,-11.779889,-39060,399.15436760000006,100.0
2015,Sierra Leone,90246,149989,8.460555000000001,-11.779889,-59743,582.9362031000001,134.0972222
2017,Sierra Leone,94225,158989,8.460555000000001,-11.779889,-64764,499.5291033,175.78269680000002
1990,Singapore,445694,147704,1.352083,103.819836,297990,11864.280209999999,71.81661113
1995,Singapore,793855,158106,1.352083,103.819836,635749,24936.830830000003,81.48361259
2000,Singapore,1218865,175705,1.352083,103.819836,1043160,23792.60707,85.19899008
2005,Singapore,1526620,215226,1.352083,103.819836,1311394,29869.85398,87.95158665
2010,Singapore,1919435,269205,1.352083,103.819836,1650230,46569.67951,100.0
2015,Singapore,2261026,302445,1.352083,103.819836,1958581,54940.85814,113.2197592
2017,Singapore,2331931,313449,1.352083,103.819836,2018482,57714.29663,113.2661463
1990,Slovenia,174420,91101,46.151241,14.995463,83319,Data Unavailable,3.720053503
1995,Slovenia,170758,108264,46.151241,14.995463,62494,10690.66523,44.80459542
2000,Slovenia,167297,118329,46.151241,14.995463,48968,10227.73677,66.53511676
2005,Slovenia,193277,119170,46.151241,14.995463,74107,18169.18091,86.81852293
2010,Slovenia,253728,123562,46.151241,14.995463,130166,23437.472019999997,100.0
2015,Slovenia,237504,133388,46.151241,14.995463,104116,20873.16111,105.9471152
2017,Slovenia,244749,142540,46.151241,14.995463,102209,23601.40278,107.4021101
1990,Solomon Islands,3925,2251,-9.64571,160.156194,1674,970.0969308,16.31935936
1995,Solomon Islands,3888,2578,-9.64571,160.156194,1310,1445.706999,28.18539746
2000,Solomon Islands,3711,2759,-9.64571,160.156194,952,1054.5185720000002,44.60435186
2005,Solomon Islands,2836,3076,-9.64571,160.156194,-240,880.8748508,65.77541264
2010,Solomon Islands,2148,3379,-9.64571,160.156194,-1231,1290.572374,100.0
2015,Solomon Islands,2005,3798,-9.64571,160.156194,-1793,1965.422037,125.2840063
2017,Solomon Islands,1956,3944,-9.64571,160.156194,-1988,2132.115068,126.54145279999999
1990,Somalia,460000,846170,5.152149,46.199616,-386170,Data Unavailable,Data Unavailable
1995,Somalia,18044,894763,5.152149,46.199616,-876719,Data Unavailable,Data Unavailable
2000,Somalia,555,1000233,5.152149,46.199616,-999678,Data Unavailable,Data Unavailable
2005,Somalia,1159,1145828,5.152149,46.199616,-1144669,Data Unavailable,Data Unavailable
2010,Somalia,1919,1573103,5.152149,46.199616,-1571184,Data Unavailable,Data Unavailable
2015,Somalia,18996,1919299,5.152149,46.199616,-1900303,478.784799,Data Unavailable
2017,Somalia,21908,1982235,5.152149,46.199616,-1960327,478.3441749,Data Unavailable
1990,South Africa,1057863,326886,-30.559482,22.937506,730977,3076.455387,25.43051237
1995,South Africa,953701,401318,-30.559482,22.937506,552383,3693.6817049999995,43.38616495
2000,South Africa,968186,510914,-30.559482,22.937506,457272,2982.000426,59.89877174
2005,South Africa,1179704,616035,-30.559482,22.937506,563669,5277.925459,74.25677316
2010,South Africa,1914144,737431,-30.559482,22.937506,1176713,7276.376756000001,100.0
2015,South Africa,2723244,859673,-30.559482,22.937506,1863571,5742.9878,130.26860729999999
2017,South Africa,2880145,894967,-30.559482,22.937506,1985178,6151.077955,146.0537215
1990,Spain,817571,1337398,40.463667,-3.74922,-519827,13767.381469999998,51.87425526
1995,Spain,1012490,1275783,40.463667,-3.74922,-263293,15429.939419999999,66.71891592
2000,Spain,1646788,1218114,40.463667,-3.74922,428674,14676.706090000001,75.92559982
2005,Spain,4102927,1037633,40.463667,-3.74922,3065294,26510.71745,88.96371937
2010,Spain,6278020,1013387,40.463667,-3.74922,5264633,30736.62785,100.0
2015,Spain,5876033,1199962,40.463667,-3.74922,4676071,25817.386609999998,106.5119645
2017,Spain,5931689,1254909,40.463667,-3.74922,4676780,28208.300410000003,108.3753351
1990,Sri Lanka,39935,883382,7.873054,80.77179699999998,-843447,463.5132257,14.48720808
1995,Sri Lanka,39215,921687,7.873054,80.77179699999998,-882472,714.0686775,23.62196755
2000,Sri Lanka,38504,974916,7.873054,80.77179699999998,-936412,869.4956921,36.48002902
2005,Sri Lanka,37860,1125672,7.873054,80.77179699999998,-1087812,1250.004791,58.2514172
2010,Sri Lanka,37190,1413629,7.873054,80.77179699999998,-1376439,2808.434392,100.0
2015,Sri Lanka,37778,1602723,7.873054,80.77179699999998,-1564945,3844.5140079999996,131.3659494
2017,Sri Lanka,38053,1703766,7.873054,80.77179699999998,-1665713,4073.7365189999996,147.0878582
1990,Sudan,1369612,570564,12.862807,30.217636,799048,478.8012635,0.23403002399999998
1995,Sudan,1019443,730165,12.862807,30.217636,289278,467.8137011,8.316602191
2000,Sudan,767247,842562,12.862807,30.217636,-75315,361.03058430000004,41.67032687
2005,Sudan,504726,1157794,12.862807,30.217636,-653068,679.7539949,59.99364358
2010,Sudan,554541,1195743,12.862807,30.217636,-641202,1476.478087,100.0
2015,Sudan,602073,1307378,12.862807,30.217636,-705305,2513.884661,349.8194047
2017,Sudan,710104,1381678,12.862807,30.217636,-671574,2898.5493460000002,Data Unavailable
1990,Suriname,10581,177545,3.919305000000001,-56.02778299999999,-166964,953.1943299000001,0.104275105
1995,Suriname,13070,191245,3.919305000000001,-56.02778299999999,-178175,1558.605119,7.223888836
2000,Suriname,16143,210942,3.919305000000001,-56.02778299999999,-194799,2006.121996,28.97290054
2005,Suriname,19755,249362,3.919305000000001,-56.02778299999999,-229607,3594.3543640000003,68.96658565
2010,Suriname,23306,257866,3.919305000000001,-56.02778299999999,-234560,8303.313320000001,100.0
2015,Suriname,27487,275389,3.919305000000001,-56.02778299999999,-247902,8617.76176,139.1901762
2017,Suriname,27991,272782,3.919305000000001,-56.02778299999999,-244791,5317.389539,264.0735308
1990,Sweden,720175,206188,60.128161,18.643501,513987,30162.315769999997,68.62717547
1995,Sweden,854643,226338,60.128161,18.643501,628305,29914.33175,84.28534825
2000,Sweden,916621,257542,60.128161,18.643501,659079,29283.00505,86.22629605
2005,Sweden,1034109,269470,60.128161,18.643501,764639,43085.35315,92.70567297
2010,Sweden,1249446,298862,60.128161,18.643501,950584,52132.91853,100.0
2015,Sweden,1519535,326820,60.128161,18.643501,1192715,50832.55271,103.59481720000001
2017,Sweden,1601107,346690,60.128161,18.643501,1254417,53253.47664,106.4917747
1990,Switzerland,1162183,321047,46.818188,8.227511999999999,841136,38428.3855,75.70722832
1995,Switzerland,1312818,334949,46.818188,8.227511999999999,977869,48662.43977,88.42127584
2000,Switzerland,1468417,365910,46.818188,8.227511999999999,1102507,37868.32306,91.74946701
2005,Switzerland,1696818,498378,46.818188,8.227511999999999,1198440,54952.673720000006,95.70979277
2010,Switzerland,1958346,623369,46.818188,8.227511999999999,1334977,74605.72102000001,100.0
2015,Switzerland,2301309,645892,46.818188,8.227511999999999,1655417,82081.59712,98.17176456
2017,Switzerland,2386931,673515,46.818188,8.227511999999999,1713416,80342.84634,98.26686201
1990,Tajikistan,428236,111509,38.861034,71.276093,316727,497.6401257,Data Unavailable
1995,Tajikistan,347871,115210,38.861034,71.276093,232661,213.63897200000002,Data Unavailable
2000,Tajikistan,298933,118280,38.861034,71.276093,180653,138.4319081,28.35562763
2005,Tajikistan,280136,120979,38.861034,71.276093,159157,337.36039700000003,58.86707884
2010,Tajikistan,277849,123469,38.861034,71.276093,154380,738.3475227000001,100.0
2015,Tajikistan,274780,116888,38.861034,71.276093,157892,918.8119145,140.1519947
2017,Tajikistan,272959,111372,38.861034,71.276093,161587,801.0508712999999,Data Unavailable
1990,Thailand,528671,283771,15.870032,100.992541,244900,1508.285774,49.75907971
1995,Thailand,809682,381450,15.870032,100.992541,428232,2845.410314,62.90721202
2000,Thailand,1257759,487438,15.870032,100.992541,770321,2007.5648260000003,77.35240025
2005,Thailand,2163055,577005,15.870032,100.992541,1586050,2893.651356,86.57076195
2010,Thailand,3223380,693720,15.870032,100.992541,2529660,5075.302176,100.0
2015,Thailand,3485695,778726,15.870032,100.992541,2706969,5846.394608,110.3433361
2017,Thailand,3587998,818058,15.870032,100.992541,2769940,6595.004125,111.2868092
1990,Timor-Leste,7892,11250,-8.874217,125.727539,-3358,Data Unavailable,Data Unavailable
1995,Timor-Leste,8570,79035,-8.874217,125.727539,-70465,Data Unavailable,Data Unavailable
2000,Timor-Leste,9327,148321,-8.874217,125.727539,-138994,504.35574749999995,Data Unavailable
2005,Timor-Leste,9930,94981,-8.874217,125.727539,-85051,1767.0027,74.41154543
2010,Timor-Leste,10158,34967,-8.874217,125.727539,-24809,3603.9405509999997,100.0
2015,Timor-Leste,10369,37751,-8.874217,125.727539,-27382,2501.577386,142.76779209999998
2017,Timor-Leste,10607,38943,-8.874217,125.727539,-28336,2279.253204,141.6416658
1990,Togo,74051,192617,8.619543,0.824782,-118566,430.0114381,39.16554948
1995,Togo,90722,305507,8.619543,0.824782,-214785,306.3583371,63.94394448
2000,Togo,124475,262354,8.619543,0.824782,-137879,299.41164760000004,74.49453288
2005,Togo,184229,364236,8.619543,0.824782,-180007,401.2789525,84.73424529
2010,Togo,235112,381625,8.619543,0.824782,-146513,526.8410723999999,100.0
2015,Togo,255407,436041,8.619543,0.824782,-180634,563.4753638,111.1797506
2017,Togo,261961,451909,8.619543,0.824782,-189948,610.1517301,111.5032135
1990,Tonga,820,32664,-21.178986,-175.198242,-31844,1193.486507,32.00512018
1995,Tonga,928,38340,-21.178986,-175.198242,-37412,2108.1957399999997,39.53230743
2000,Tonga,1039,46729,-21.178986,-175.198242,-45690,2063.2072359999997,47.69881268
2005,Tonga,1212,48555,-21.178986,-175.198242,-47343,2594.74999,76.74160624
2010,Tonga,1290,51812,-21.178986,-175.198242,-50522,3548.068399,100.0
2015,Tonga,1368,58438,-21.178986,-175.198242,-57070,4093.849585,109.8734575
2017,Tonga,1387,60258,-21.178986,-175.198242,-58871,3959.079757,121.0940352
1990,Trinidad and Tobago,46645,191409,10.691803,-61.222503,-144764,4147.6389229999995,30.053615100000002
1995,Trinidad and Tobago,42344,245740,10.691803,-61.222503,-203396,4246.382404,42.11485471
2000,Trinidad and Tobago,37801,302830,10.691803,-61.222503,-265029,6430.947262,51.0526154
2005,Trinidad and Tobago,40571,318145,10.691803,-61.222503,-277574,12323.12705,64.57551575
2010,Trinidad and Tobago,40940,346544,10.691803,-61.222503,-305604,16683.42242,100.0
2015,Trinidad and Tobago,42406,356010,10.691803,-61.222503,-313604,17941.23794,133.630695
2017,Trinidad and Tobago,42679,368589,10.691803,-61.222503,-325910,16126.37095,140.32397880000002
1990,Tunisia,32025,452415,33.886917,9.537499,-420390,1492.878809,47.64456555
1995,Tunisia,31851,466215,33.886917,9.537499,-434364,1978.3767890000001,63.11306458
2000,Tunisia,29634,478946,33.886917,9.537499,-449312,2213.914088,73.98668469
2005,Tunisia,28474,571480,33.886917,9.537499,-543006,3194.562243,84.16601939
2010,Tunisia,35123,597541,33.886917,9.537499,-562418,4140.15177,100.0
2015,Tunisia,45715,751171,33.886917,9.537499,-705456,3827.729834,126.73448970000001
2017,Tunisia,46481,765594,33.886917,9.537499,-719113,3464.41689,138.4422949
1990,Turkey,979704,2505634,38.963745,35.243322,-1525930,2794.353551,0.07164957
1995,Turkey,1071547,2651471,38.963745,35.243322,-1579924,2897.870208,1.303747898
2000,Turkey,1175736,2785268,38.963745,35.243322,-1609532,4316.561103,20.59482623
2005,Turkey,1210738,2662393,38.963745,35.243322,-1451655,7384.259106999999,65.85295217
2010,Turkey,1255160,2661540,38.963745,35.243322,-1406380,10672.40036,100.0
2015,Turkey,4051301,3066358,38.963745,35.243322,984943,10984.80288,146.0678251
2017,Turkey,4787371,3384952,38.963745,35.243322,1402419,10546.152559999999,174.96870330000002
1990,Turkmenistan,304375,93840,38.969719,59.556278000000006,210535,865.7896521,Data Unavailable
1995,Turkmenistan,270049,69994,38.969719,59.556278000000006,200055,588.0960878,Data Unavailable
2000,Turkmenistan,215691,49094,38.969719,59.556278000000006,166597,643.1750107999999,Data Unavailable
2005,Turkmenistan,210315,48728,38.969719,59.556278000000006,161587,1704.419323,Data Unavailable
2010,Turkmenistan,195437,49718,38.969719,59.556278000000006,145719,4439.2029999999995,Data Unavailable
2015,Turkmenistan,193860,50670,38.969719,59.556278000000006,143190,6432.68417,Data Unavailable
2017,Turkmenistan,192547,52392,38.969719,59.556278000000006,140155,6586.625863,Data Unavailable
1990,Turks and Caicos Islands,4481,2311,21.694025,-71.797928,2170,Data Unavailable,Data Unavailable
1995,Turks and Caicos Islands,5901,1536,21.694025,-71.797928,4365,Data Unavailable,Data Unavailable
2000,Turks and Caicos Islands,7746,759,21.694025,-71.797928,6987,Data Unavailable,Data Unavailable
2005,Turks and Caicos Islands,8149,1236,21.694025,-71.797928,6913,Data Unavailable,Data Unavailable
2010,Turks and Caicos Islands,12734,1724,21.694025,-71.797928,11010,Data Unavailable,Data Unavailable
2015,Turks and Caicos Islands,17499,1843,21.694025,-71.797928,15656,Data Unavailable,Data Unavailable
2017,Turks and Caicos Islands,18893,1912,21.694025,-71.797928,16981,Data Unavailable,Data Unavailable
1990,Tuvalu,239,3013,-7.109535,177.64933,-2774,980.1674708999999,Data Unavailable
1995,Tuvalu,197,3337,-7.109535,177.64933,-3140,1194.576939,Data Unavailable
2000,Tuvalu,164,3127,-7.109535,177.64933,-2963,1458.817097,Data Unavailable
2005,Tuvalu,142,3168,-7.109535,177.64933,-3026,2178.02921,Data Unavailable
2010,Tuvalu,123,3229,-7.109535,177.64933,-3106,3021.889528,Data Unavailable
2015,Tuvalu,111,3458,-7.109535,177.64933,-3347,3232.07334,Data Unavailable
2017,Tuvalu,111,3533,-7.109535,177.64933,-3422,3549.9747409999995,Data Unavailable
1990,Uganda,536580,273260,1.373333,32.290275,263320,246.8273307,Data Unavailable
1995,Uganda,613212,433897,1.373333,32.290275,179315,280.0845471,42.31822138
2000,Uganda,631630,516280,1.373333,32.290275,115350,257.6303609,53.69943878
2005,Uganda,649897,517793,1.373333,32.290275,132104,315.7880227,66.67894615
2010,Uganda,526101,551066,1.373333,32.290275,-24965,595.2061732000001,100.0
2015,Uganda,1148923,575441,1.373333,32.290275,573482,675.1211397000001,149.962871
2017,Uganda,1623920,581337,1.373333,32.290275,1042583,606.4684535,166.77877469999999
1990,Ukraine,6481438,1993336,48.379433,31.16558,4488102,1569.739433,Data Unavailable
1995,Ukraine,5774245,1942367,48.379433,31.16558,3831878,935.9680913999999,9.582888645
2000,Ukraine,5137559,1925823,48.379433,31.16558,3211736,635.7089635,34.84495038
2005,Ukraine,4694360,2121354,48.379433,31.16558,2573006,1826.932206,51.20200623
2010,Ukraine,4479141,2284104,48.379433,31.16558,2195037,2965.1423649999997,100.0
2015,Ukraine,4494136,2377190,48.379433,31.16558,2116946,2124.662666,180.499827
2017,Ukraine,4539064,2469916,48.379433,31.16558,2069148,2639.8243260000004,235.29920440000004
1990,United Arab Emirates,1287556,68620,23.424076,53.847818,1218936,27256.29094,Data Unavailable
1995,United Arab Emirates,1781444,87307,23.424076,53.847818,1694137,26847.08005,Data Unavailable
2000,United Arab Emirates,2377888,100724,23.424076,53.847818,2277164,33071.26869,Data Unavailable
2005,United Arab Emirates,3183170,94153,23.424076,53.847818,3089017,39439.80197,Data Unavailable
2010,United Arab Emirates,7094180,111494,23.424076,53.847818,6982686,35037.89267,100.0
2015,United Arab Emirates,7752052,124300,23.424076,53.847818,7627752,39122.04971,109.3487321
2017,United Arab Emirates,8059782,131948,23.424076,53.847818,7927834,40698.84934,113.3034561
1990,United Kingdom,3641645,3721069,55.378051,-3.435973,-79424,19095.467,61.09672647
1995,United Kingdom,4132002,3639032,55.378051,-3.435973,492970,23013.45882,73.93194008
2000,United Kingdom,4692050,3782593,55.378051,-3.435973,909457,27982.355760000002,81.4684668
2005,United Kingdom,5886598,4053071,55.378051,-3.435973,1833527,41732.64054,88.11725541
2010,United Kingdom,7560559,4371216,55.378051,-3.435973,3189343,39079.84261,100.0
2015,United Kingdom,8370798,4630211,55.378051,-3.435973,3740587,44472.1517,110.95801740000002
2017,United Kingdom,8799334,4823829,55.378051,-3.435973,3975505,39953.57306,114.94359159999999
1990,Uruguay,91866,230292,-32.522779,-55.765835,-138426,2989.991172,2.134969692
1995,Uruguay,86635,227478,-32.522779,-55.765835,-140843,5984.13519,23.04653435
2000,Uruguay,81477,229838,-32.522779,-55.765835,-148361,6871.897677,43.47096715
2005,Uruguay,75953,291872,-32.522779,-55.765835,-215919,5220.951115999999,70.54380406
2010,Uruguay,70356,329815,-32.522779,-55.765835,-259459,11938.212,100.0
2015,Uruguay,72689,343125,-32.522779,-55.765835,-270436,15524.84247,150.0984842
2017,Uruguay,73407,353185,-32.522779,-55.765835,-279778,16245.59837,174.80003430000002
1990,Uzbekistan,1577433,534964,41.377491,64.585262,1042469,651.4192061000001,Data Unavailable
1995,Uzbekistan,1433906,622866,41.377491,64.585262,811040,585.9323642,Data Unavailable
2000,Uzbekistan,1323853,680138,41.377491,64.585262,643715,558.2268024,Data Unavailable
2005,Uzbekistan,1246984,710458,41.377491,64.585262,536526,546.7768502,Data Unavailable
2010,Uzbekistan,1140101,752599,41.377491,64.585262,387502,1377.08214,Data Unavailable
2015,Uzbekistan,1094008,799088,41.377491,64.585262,294920,2137.576852,Data Unavailable
2017,Uzbekistan,1083064,816681,41.377491,64.585262,266383,1533.852038,Data Unavailable
1990,Vanuatu,1565,4905,-15.376706,166.959158,-3340,1080.2228890000001,55.87029369
1995,Vanuatu,1451,5629,-15.376706,166.959158,-4178,1390.329687,67.04435243
2000,Vanuatu,1361,6255,-15.376706,166.959158,-4894,1469.8491490000001,75.14638898
2005,Vanuatu,1810,7248,-15.376706,166.959158,-5438,1886.4333589999999,83.91131942
2010,Vanuatu,2191,7732,-15.376706,166.959158,-5541,2965.802434,100.0
2015,Vanuatu,2278,8321,-15.376706,166.959158,-6043,2788.770919,107.14943329999998
2017,Vanuatu,2315,8544,-15.376706,166.959158,-6229,3123.614591,111.3845888
1990,Zambia,269896,64663,-13.133897,27.849332,205233,409.2579854,0.21687257899999998
1995,Zambia,232452,125688,-13.133897,27.849332,106764,416.6613811,6.730886151
2000,Zambia,315441,146411,-13.133897,27.849332,169030,341.9055625,23.82828787
2005,Zambia,227993,165821,-13.133897,27.849332,62172,691.3178164,59.91577845
2010,Zambia,130863,202808,-13.133897,27.849332,-71945,1463.213573,100.0
2015,Zambia,135913,254813,-13.133897,27.849332,-118900,1313.889646,144.0420615
2017,Zambia,137257,264344,-13.133897,27.849332,-127087,1513.276316,180.9490794
1990,Zimbabwe,598946,175924,-19.015438,29.154857,423022,862.5865882000002,Data Unavailable
1995,Zimbabwe,393451,251700,-19.015438,29.154857,141751,628.1849247,Data Unavailable
2000,Zimbabwe,361939,309783,-19.015438,29.154857,52156,547.3588785000001,Data Unavailable
2005,Zimbabwe,320377,477879,-19.015438,29.154857,-157502,444.7605075,Data Unavailable
2010,Zimbabwe,286242,813007,-19.015438,29.154857,-526765,854.8476652999999,100.0
2015,Zimbabwe,262349,965801,-19.015438,29.154857,-703452,1265.294413,106.22454109999998
2017,Zimbabwe,262349,1024059,-19.015438,29.154857,-761710,1333.395663,105.511849
